filing_year,Hybrid_Bonding_Total,HBM_Total
2010,4,2
2011,19,2
2012,17,7
2013,22,2
2014,19,8
2015,27,7
2016,50,21
2017,26,19
2018,50,29
2019,56,41
2020,71,45
2021,118,30
2022,176,30
2023,130,26
2024,45,16
